started_at_utc,provider,model_requested,prompt_id,case_id,run_number,raw_output,error,actual_merchant_normalized,actual_category,actual_needs_review,actual_reason,input_tokens,output_tokens,total_tokens,model_returned,latency_ms,estimated_cost,cost_currency
2026-09-23T17:21:06.032587+00:00,local_qwen,qwen2.5-7b-instruct-1m,A_short,bank_abbreviation,1,"{
  ""merchant_normalized"": ""Пяточка"",
  ""category"": ""Продукты"",
  ""needs_review"": false,
  ""reason"": """"
}",,Пяточка,Продукты,False,,190,37,227,qwen2.5-7b-instruct-1m,1045.3,0.0,RUB
2026-09-23T17:21:07.078604+00:00,local_qwen,qwen2.5-7b-instruct-1m,A_short,bank_abbreviation,2,"{
  ""merchant_normalized"": ""Пяточка"",
  ""category"": ""Продукты"",
  ""needs_review"": false,
  ""reason"": """"
}",,Пяточка,Продукты,False,,190,37,227,qwen2.5-7b-instruct-1m,573.2,0.0,RUB
2026-09-23T17:21:07.652740+00:00,local_qwen,qwen2.5-7b-instruct-1m,A_short,bank_abbreviation,3,"{
  ""merchant_normalized"": ""Пяточка"",
  ""category"": ""Продукты"",
  ""needs_review"": false,
  ""reason"": """"
}",,Пяточка,Продукты,False,,190,37,227,qwen2.5-7b-instruct-1m,562.9,0.0,RUB
2026-09-23T17:21:08.216452+00:00,local_qwen,qwen2.5-7b-instruct-1m,A_short,taxi_alias,1,"{
  ""merchant_normalized"": ""Яндекс Go"",
  ""category"": ""Транспорт"",
  ""needs_review"": false,
  ""reason"": """"
}",,Яндекс Go,Транспорт,False,,170,35,205,qwen2.5-7b-instruct-1m,566.5,0.0,RUB
2026-09-23T17:21:08.783281+00:00,local_qwen,qwen2.5-7b-instruct-1m,A_short,taxi_alias,2,"{
  ""merchant_normalized"": ""Яндекс Go"",
  ""category"": ""Транспорт"",
  ""needs_review"": false,
  ""reason"": """"
}",,Яндекс Go,Транспорт,False,,170,35,205,qwen2.5-7b-instruct-1m,532.5,0.0,RUB
2026-09-23T17:21:09.316783+00:00,local_qwen,qwen2.5-7b-instruct-1m,A_short,taxi_alias,3,"{
  ""merchant_normalized"": ""Яндекс Go"",
  ""category"": ""Транспорт"",
  ""needs_review"": false,
  ""reason"": """"
}",,Яндекс Go,Транспорт,False,,170,35,205,qwen2.5-7b-instruct-1m,539.4,0.0,RUB
2026-09-23T17:21:09.856776+00:00,local_qwen,qwen2.5-7b-instruct-1m,A_short,pharmacy,1,"{
  ""merchant_normalized"": ""Аптека.РУ"",
  ""category"": ""Здоровье"",
  ""needs_review"": false,
  ""reason"": """"
}",,Аптека.РУ,Здоровье,False,,185,38,223,qwen2.5-7b-instruct-1m,599.7,0.0,RUB
2026-09-23T17:21:10.456582+00:00,local_qwen,qwen2.5-7b-instruct-1m,A_short,pharmacy,2,"{
  ""merchant_normalized"": ""Аптека.Ру"",
  ""category"": ""Здоровье"",
  ""needs_review"": false,
  ""reason"": """"
}",,Аптека.Ру,Здоровье,False,,185,38,223,qwen2.5-7b-instruct-1m,570.7,0.0,RUB
2026-09-23T17:21:11.028540+00:00,local_qwen,qwen2.5-7b-instruct-1m,A_short,pharmacy,3,"{
  ""merchant_normalized"": ""Аптека.Ру"",
  ""category"": ""Здоровье"",
  ""needs_review"": false,
  ""reason"": """"
}",,Аптека.Ру,Здоровье,False,,185,38,223,qwen2.5-7b-instruct-1m,567.0,0.0,RUB
2026-09-23T17:21:11.595928+00:00,local_qwen,qwen2.5-7b-instruct-1m,A_short,marketplace_mixed_basket,1,"{
  ""merchant_normalized"": ""Ozon"",
  ""category"": ""Покупки"",
  ""needs_review"": false,
  ""reason"": """"
}",,Ozon,Покупки,False,,181,34,215,qwen2.5-7b-instruct-1m,554.2,0.0,RUB
2026-09-23T17:21:12.150732+00:00,local_qwen,qwen2.5-7b-instruct-1m,A_short,marketplace_mixed_basket,2,"{
  ""merchant_normalized"": ""Ozon"",
  ""category"": ""Покупки"",
  ""needs_review"": false,
  ""reason"": """"
}",,Ozon,Покупки,False,,181,34,215,qwen2.5-7b-instruct-1m,504.9,0.0,RUB
2026-09-23T17:21:12.656319+00:00,local_qwen,qwen2.5-7b-instruct-1m,A_short,marketplace_mixed_basket,3,"{
  ""merchant_normalized"": ""Ozon"",
  ""category"": ""Покупки"",
  ""needs_review"": false,
  ""reason"": """"
}",,Ozon,Покупки,False,,181,34,215,qwen2.5-7b-instruct-1m,508.6,0.0,RUB
2026-09-23T17:21:13.165316+00:00,local_qwen,qwen2.5-7b-instruct-1m,A_short,utility_payment,1,"{
  ""merchant_normalized"": ""Мосэнергосбыт"",
  ""category"": ""ЖКХ"",
  ""needs_review"": false,
  ""reason"": """"
}",,Мосэнергосбыт,ЖКХ,False,,187,38,225,qwen2.5-7b-instruct-1m,598.6,0.0,RUB
2026-09-23T17:21:13.765438+00:00,local_qwen,qwen2.5-7b-instruct-1m,A_short,utility_payment,2,"{
  ""merchant_normalized"": ""Мосэнергосбыт"",
  ""category"": ""ЖКХ"",
  ""needs_review"": false,
  ""reason"": """"
}",,Мосэнергосбыт,ЖКХ,False,,187,38,225,qwen2.5-7b-instruct-1m,569.3,0.0,RUB
2026-09-23T17:21:14.335540+00:00,local_qwen,qwen2.5-7b-instruct-1m,A_short,utility_payment,3,"{
  ""merchant_normalized"": ""Мосэнергосбыт"",
  ""category"": ""ЖКХ"",
  ""needs_review"": false,
  ""reason"": """"
}",,Мосэнергосбыт,ЖКХ,False,,187,38,225,qwen2.5-7b-instruct-1m,582.6,0.0,RUB
2026-09-23T17:21:14.918508+00:00,local_qwen,qwen2.5-7b-instruct-1m,A_short,ambiguous_sbp_transfer,1,"{
  ""merchant_normalized"": ""СБП ПЕРЕВОД Иван И."",
  ""category"": ""Не определено"",
  ""needs_review"": false,
  ""reason"": """"
}",,СБП ПЕРЕВОД Иван И.,Не определено,False,,149,44,193,qwen2.5-7b-instruct-1m,680.5,0.0,RUB
2026-09-23T17:21:15.599845+00:00,local_qwen,qwen2.5-7b-instruct-1m,A_short,ambiguous_sbp_transfer,2,"{
  ""merchant_normalized"": ""СБП ПЕРЕВОД Иван И."",
  ""category"": ""Не определено"",
  ""needs_review"": false,
  ""reason"": """"
}",,СБП ПЕРЕВОД Иван И.,Не определено,False,,149,44,193,qwen2.5-7b-instruct-1m,644.1,0.0,RUB
2026-09-23T17:21:16.244016+00:00,local_qwen,qwen2.5-7b-instruct-1m,A_short,ambiguous_sbp_transfer,3,"{
  ""merchant_normalized"": ""СБП ПЕРЕВОД Иван И."",
  ""category"": ""Не определено"",
  ""needs_review"": false,
  ""reason"": """"
}",,СБП ПЕРЕВОД Иван И.,Не определено,False,,149,44,193,qwen2.5-7b-instruct-1m,647.3,0.0,RUB
